tax_year,donor_ein,donor_name,amount,purpose,grant_type
2025,381359214,JEWISH FEDERATION OF METROPOLITAN DETROIT,40000,TO SUPPORT ISRAELI CHARITIES,schedule_i
2024,131659627,JEWISH NATIONAL FUND - KEREN KAYEMETH LEISRAEL INC,260600,,schedule_i
2024,590948696,JEWISH FEDERATION OF PALM BEACH COUNTY,60000,GENERAL SUPPORT,schedule_i
2024,231500085,JEWISH FEDERATION GREATER PHILADELPHIA,60000,"ENDOWMENTS, DONOR ADVISED FUNDS (DAFS), RESTRICTED GIFTS, AND STRATEGY AND IMPACT",schedule_i
2024,626077703,JEWISH FEDERATION OF NASHVILLE & MIDDLE TENNESSEE,36200,GENERAL PROGRAM SUPPORT,schedule_i
2024,060655482,DESTINATION HARTFORD,35000,EMERGENCY FUNDING DUE TO WAR IN ISRAEL,schedule_i
2024,581021791,JEWISH FEDERATION OF GREATER ATLANTA,16750,DONATIONS,schedule_i
2024,390806312,JEWISH COMMUNITY FOUNDATION (MILWAUKEE),0,GENERAL DONATIONS,schedule_i
2023,262547583,CHERNA MOSKOWITZ FOUNDATION,1579000,PROMOTING CHARITABLE ACTIVITIES IN ISRAEL.,paid
2023,952504044,JEWISH COMMUNITY FOUNDATION OF SAN DIEGO,299558,GENERAL,schedule_i
2023,131659627,JEWISH NATIONAL FUND - KEREN KAYEMETH LEISRAEL INC,190000,,schedule_i
2023,340714445,OHIO FRIENDS OF THE ISRAEL DEFENSE FORCE,149680,"GENERAL SUPPORT, ISRAEL ADVOCACY, RESERVISTS ON DUTY SHARAKA",schedule_i
2023,131659627,JEWISH NATIONAL FUND - KEREN KAYEMETH LEISRAEL INC,140000,,schedule_i
2023,201123519,JEWISH FEDERATION OF OMAHA FOUNDATION,50000,GENERAL SUPPORT,schedule_i
2023,590624404,JEWISH FEDERATION OF GREATER MIAMI,47801,GENERAL SUPPORT,schedule_i
2023,581021791,JEWISH FEDERATION OF GREATER ATLANTA,45360,DONATIONS,schedule_i
2023,473833568,CHAYAL EL CHAYAL INC,35000,HUMANITARIAN AID,schedule_i
2023,221714130,RUTGERS UNIVERSITY HILLEL,23000,General charitable purposes,schedule_i
2023,362167761,HILLELS OF ILLINOIS,20500,Grants from Donor Advised Funds - Operating Support,schedule_i
2023,541653165,TIDEWATER JEWISH FOUNDATION INC,18600,GENERAL OPERATIONS/DONATIONS,schedule_i
2023,590948696,JEWISH FEDERATION OF PALM BEACH COUNTY,18000,GENERAL SUPPORT,schedule_i
2023,530212445,JEWISH FEDERATION OF GREATER WASHINGTON,8600,JCF GRANTS FROM DAFS AND ENDOWMENTS,schedule_i
2023,410693866,JEWISH FEDERATION OF MINNEAPOLIS,7500,GENERAL OPERATING SUPPORT,schedule_i
2022,262547583,CHERNA MOSKOWITZ FOUNDATION,1361000,PROMOTING CHARITABLE ACTIVITIES IN ISRAEL.,paid
2022,131659627,JEWISH NATIONAL FUND - KEREN KAYEMETH LEISRAEL INC,514500,,schedule_i
