tax_year,recipient_name,recipient_country,grant_amount,grant_purpose,foundation_status_raw,foundation_status_classified,is_potential_violation
2019,[Foreign Grant - middle east/north africa],middle east/north africa,4169806.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,2000000.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,1680000.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,1292810.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,1149147.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,850000.00,educational,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,773875.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,725000.00,pub awareness,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,600100.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,546885.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,523500.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,515660.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,515000.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,500000.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,470880.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,413028.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,409000.00,Educational,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,405750.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,400000.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,384713.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,365170.00,womens,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,354500.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,332564.00,EDUCATIONAL,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,307893.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,307754.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,300000.00,,,,False
2019,[Foreign Grant - middle east/north africa],middle east/north africa,279314.00,,,,False
