tax_year,region,expenditures,grant_amount,num_offices,num_employees,activities_description
2019,Middle East and North Africa,52005.00,,0,0,Grantmaking
2019,Middle East and North Africa,36507949.00,,0,0,Grantmaking
2020,Middle East and North Africa,42322436.00,,,,Grantmaking
2020,Middle East and North Africa,5554.00,,,,Grantmaking
2021,Middle East and North Africa,31000.00,,,,Grantmaking
2021,Middle East and North Africa,44522883.00,,,,Grantmaking
2022,Europe,1126750.00,,0,0,Grantmaking
2022,Middle East,53023056.00,,0,0,Grantmaking
2023,Europe,178500.00,,0,0,Grantmaking
2023,Middle East,71471878.00,,0,0,Grantmaking
2024,Europe,306480.00,,0,0,Grantmaking
2024,Middle East,92146679.00,,1,1,Grantmaking
2025,Europe,255250.00,,0,0,Grantmaking
2025,Middle East,83630691.00,,1,1,Grantmaking
